id,school_name,region,source,ratio_grade,ratio_exam,ratio_special,border_s,border_naishin_135,border_grade_9_subject_avg,border_exam_5_subject_avg,chance60_s,chance60_naishin_135,chance60_grade_9_subject_avg,chance60_exam_5_subject_avg,chance80_s,chance80_naishin_135,chance80_grade_9_subject_avg,chance80_exam_5_subject_avg,target_s,exam_focus_summary,focus_english_multiplier,focus_best_of,focus_best_multiplier
csv-厚木清南高校-普通,厚木清南,県央,kanagaku,6,4,0,385,60.6,2.24,29.0,439,69,2.56,33.1,471,74,2.74,35.5,471,,,,
csv-厚木王子高校-普通,厚木王子,県央,kanagaku,5,5,0,616,96.4,3.57,51.8,665,101,3.74,58.2,697,104,3.85,62.4,697,,,,
csv-厚木西高校-普通,厚木西,県央,kanagaku,5,5,0,557,86.8,3.21,47.1,583,90,3.33,49.9,615,94,3.48,53.4,615,,,,
csv-厚木高校-普通,厚木,県央,kanagaku,4,6,2,860,118.3,4.38,84.9,901,126,4.67,87.9,933,132,4.89,90.3,933,,,,
csv-城郷高校-普通,城郷,横浜,kanagaku,5,5,0,558,88.0,3.26,46.4,574,90,3.33,48.1,606,94,3.48,51.6,606,,,,
csv-多摩高校-普通,多摩,川崎,kanagaku,4,6,2,861,118.3,4.38,85.1,878,121,4.48,86.6,910,126,4.67,89.4,910,,,,
csv-大和南高校-普通,大和南,県央,kanagaku,5,5,0,450,73.2,2.71,35.8,487,79,2.93,38.9,519,84,3.11,41.6,519,,,,
csv-大和西高校-普通,大和西,県央,kanagaku,4,6,0,596,94.5,3.50,52.7,623,97,3.59,55.9,655,100,3.70,59.8,655,,,,
csv-大和高校-普通,大和,県央,kanagaku,4,6,1,822,113.5,4.20,81.0,870,121,4.48,85.2,902,126,4.67,88.1,902,,,,
csv-大師高校-普通,大師,川崎,kanagaku,5,5,0,345,54.4,2.02,28.7,380,61,2.26,30.8,412,67,2.48,32.8,412,,,,
csv-大磯高校-普通,大磯,湘南,kanagaku,4,6,0,617,100.7,3.73,53.1,638,102,3.78,56.0,670,104,3.85,60.3,670,,,,
ofuna,大船,湘南,kanagaku,3,7,0,665,101.5,3.76,62.8,702,105,3.89,67.0,734,108,4.00,70.6,734,英語1.5倍 + 数学/国語の高い方1.5倍,1.5,数学/国語,1.5
csv-寒川高校-普通,寒川,湘南,kanagaku,7,3,0,360,52.2,1.93,29.8,378,55,2.04,30.9,410,60,2.22,33.0,410,,,,
csv-小田原東高校-普通,小田原東,県西,kanagaku,5,5,0,370,56.4,2.09,32.2,432,68,2.52,36.0,464,74,2.74,38.0,464,,,,
csv-小田原高校-普通,小田原,県西,kanagaku,4,6,2,816,114.1,4.22,79.7,869,124,4.59,83.6,901,130,4.81,86.0,901,,,,
csv-山北高校-普通,山北,県西,kanagaku,5,5,0,383,62.4,2.31,30.4,429,71,2.63,33.2,461,77,2.85,35.2,461,,,,
csv-岸根高校-普通,岸根,横浜,kanagaku,5,5,0,637,92.8,3.44,58.7,650,94,3.48,60.4,682,97,3.59,64.5,682,,,,
csv-川和高校-普通,川和,横浜,kanagaku,4,6,1,854,118.8,4.40,83.6,887,124,4.59,86.6,919,129,4.78,89.5,919,,,,
csv-川崎北高校-普通,川崎北,川崎,kanagaku,5,5,0,515,82.9,3.07,41.6,535,86,3.19,43.3,567,91,3.37,46.0,567,,,,
csv-市ケ尾高校-普通,市ケ尾,横浜,kanagaku,5,5,0,759,107.1,3.97,72.4,782,110,4.07,74.9,814,114,4.22,78.4,814,,,,
csv-市立幸高校-普通,市立幸,川崎,kanagaku,5,5,0,531,84.5,3.13,43.6,543,86,3.19,44.9,575,90,3.33,48.3,575,,,,
csv-市立戸塚高校-一般,市立戸塚（一般）,横浜,kanagaku,5,5,0,713,101.5,3.76,67.4,765,108,4.00,73.0,797,112,4.15,76.4,797,,,,
csv-市立戸塚高校-音楽,市立戸塚（音楽）,横浜,kanagaku,5,5,4,646,99.2,3.67,55.7,665,101,3.74,58.2,697,104,3.85,62.4,697,,,,
csv-市立東高校-普通,市立東,横浜,kanagaku,4,6,0,711,103.3,3.83,67.5,740,106,3.93,71.0,772,109,4.04,74.8,772,英語1.5倍,1.5,,
csv-市立桜丘高校-普通,市立桜丘,横浜,kanagaku,3,7,0,720,106.0,3.93,69.2,776,113,4.19,75.0,808,117,4.33,78.3,808,,,,
csv-市立橘高校-普通,市立橘,川崎,kanagaku,4,6,2,711,105.1,3.89,66.6,734,108,4.00,69.0,766,112,4.15,72.4,766,,,,
csv-市立金沢高校-普通,市立金沢,横浜,kanagaku,3,7,0,768,107.2,3.97,75.7,830,115,4.26,82.1,862,119,4.41,85.4,862,英語1.5倍,1.5,,
csv-市立高津高校-普通,市立高津,川崎,kanagaku,5,5,0,620,94.5,3.50,54.0,636,96,3.56,56.1,668,99,3.67,60.3,668,,,,
csv-希望ケ丘高校-普通,希望ケ丘,横浜,kanagaku,4,6,1,821,114.9,4.26,80.1,860,121,4.48,83.6,892,126,4.67,86.4,892,,,,
